meta_num,secretaria,tipo,MC,pdm24,fis24,ef24,avfis24,pdm25,fis25,ef25,avfis25,pdm26,fis26,ef26,avfis26,pdm27,fis27,ef27,avfis27,avance_fisico,cumplimiento,aprop24_M,aprop25_M,aprop26_M,aprop27_M
21,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,400.0,100.0,100.0,100.0%,25.0%,100.0,100.0,100.0%,25.0%,100.0,91.0,91.0%,23.0%,100.0,0.0,0.0%,0.0%,73.0%,73.0%,256.1,684.2,744.2,490.0
22,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,400.0,100.0,100.0,100.0%,25.0%,100.0,100.0,100.0%,25.0%,100.0,0.0,0.0%,0.0%,100.0,0.0,0.0%,0.0%,50.0%,50.0%,82.8,290.0,74.3,76.3
23,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.91,91.0%,23.0%,1.0,0.0,0.0%,0.0%,73.0%,73.0%,347.2,787.0,730.8,55.0
24,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,No acumulativo,1.0,,,,,1.0,1.0,100.0%,50.0%,1.0,0.0,0.0%,0.0%,,0.0,,,50.0%,50.0%,0,0,5.0,0
25,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,No acumulativo,8.0,8.0,12.0,100.0%,25.0%,8.0,11.0,100.0%,25.0%,8.0,8.0,100.0%,25.0%,8.0,0.0,0.0%,0.0%,75.0%,75.0%,2442.5,3080.2,1650.9,2038.7
26,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,No acumulativo,12.0,12.0,12.0,100.0%,25.0%,12.0,12.0,100.0%,25.0%,12.0,3.0,25.0%,6.0%,12.0,0.0,0.0%,0.0%,56.0%,56.0%,497.5,620.7,499.4,10.0
27,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,Acumulativo,6.0,1.0,2.0,100.0%,17.0%,2.0,2.0,100.0%,33.0%,2.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,50.0%,50.0%,118.3,63.4,39.7,93.9
28,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,Acumulativo,24.0,,,,,8.0,8.0,100.0%,33.0%,8.0,0.0,0.0%,0.0%,8.0,0.0,0.0%,0.0%,33.0%,33.0%,56.0,21.9,15.0,14.1
29,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,Acumulativo,32.0,6.0,6.0,100.0%,19.0%,10.0,10.0,100.0%,31.0%,10.0,0.0,0.0%,0.0%,6.0,0.0,0.0%,0.0%,50.0%,50.0%,105.0,104.0,85.0,84.0
30,SPOTV,Acumulativo,1.0,,,,,1.0,,0.0%,0.0%,1.0,0.42,42.0%,42.0%,0.25,0.0,0.0%,0.0%,42.0%,14.0%,0,0,325.5,50.0
31,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,No acumulativo,1.0,1.0,0.0,0.0%,0.0%,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,25.0%,25.0%,30.0,36.0,24.0,25.0
32,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,Acumulativo,8.0,2.0,2.0,100.0%,25.0%,2.0,2.0,100.0%,25.0%,2.0,2.0,100.0%,25.0%,2.0,0.0,0.0%,0.0%,75.0%,75.0%,10.5,24.5,11.0,22.5
33,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,No acumulativo,1.0,1.0,0.0,0.0%,0.0%,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,25.0%,25.0%,29.5,30.5,95.8,30.0
34,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,No acumulativo,1.0,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,25.0%,25.0%,540.8,891.7,0,459.2
35,DIRECCIÓN DE EDUCACIÓN,Acumulativo,1021800.0,252.967,196200.0,78.0%,19.0%,255450.0,255450.0,100.0%,25.0%,255450.0,0.0,0.0%,0.0%,257933.0,0.0,0.0%,0.0%,44.0%,44.0%,672.7,826.9,780.8,1156.5
36,DIRECCIÓN DE EDUCACIÓN,Acumulativo,3.0,2.0,2.0,100.0%,67.0%,1.0,1.0,100.0%,33.0%,1.0,0.0,0.0%,0.0%,,0.0,,,100.0%,67.0%,119.8,36.0,0,0
37,DIRECCIÓN DE EDUCACIÓN,No acumulativo,1.0,1.0,1.0,100.0%,33.0%,,,,,0.2,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,33.0%,33.0%,0,0,0,23.2
38,DIRECCIÓN DE EDUCACIÓN,No acumulativo,1.0,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,0.27,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,25.0%,25.0%,92.5,67.0,100.0,102.0
39,DIRECCIÓN DE EDUCACIÓN,Acumulativo,5.0,1.0,1.0,100.0%,20.0%,2.0,0.0,0.0%,0.0%,2.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,20.0%,25.0%,80.0,142.7,135.0,46.3
40,DIRECCIÓN DE EDUCACIÓN,Acumulativo,250.0,70.0,70.0,100.0%,28.0%,70.0,70.0,100.0%,28.0%,70.0,0.0,0.0%,0.0%,40.0,0.0,0.0%,0.0%,56.0%,50.0%,30.0,100.0,100.0,82.0
41,DIRECCIÓN DE EDUCACIÓN,Acumulativo,120.0,30.0,30.0,100.0%,25.0%,30.0,30.0,100.0%,25.0%,30.0,0.0,0.0%,0.0%,30.0,0.0,0.0%,0.0%,50.0%,50.0%,30.0,67.7,70.0,61.0
42,DIRECCIÓN DE EDUCACIÓN,Acumulativo,24.0,6.0,6.0,100.0%,25.0%,6.0,6.0,100.0%,25.0%,6.0,0.0,0.0%,0.0%,6.0,0.0,0.0%,0.0%,50.0%,50.0%,50.0,67.7,80.0,29.0
43,DIRECCIÓN DE EDUCACIÓN,No acumulativo,1.0,1.0,0.0,0.0%,0.0%,1.0,1.0,100.0%,25.0%,0.25,0.045,18.0%,1.0%,1.0,0.0,0.0%,0.0%,26.0%,30.0%,230.7,327.3,416.4,572.9
44,DIRECCIÓN DE EDUCACIÓN,Acumulativo,60.0,,,,,,,,,20.0,0.0,0.0%,0.0%,30.0,0.0,0.0%,0.0%,0.0%,0.0%,0,0,0,60.0
45,DIRECCIÓN DE EDUCACIÓN,No acumulativo,1.0,,,,,,,,,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,0.0%,0.0%,0,0,0,30.0
46,DIRECCIÓN DE EDUCACIÓN,Acumulativo,450.0,120.0,120.0,100.0%,27.0%,120.0,120.0,100.0%,27.0%,120.0,0.0,0.0%,0.0%,100.0,0.0,0.0%,0.0%,53.0%,50.0%,103.2,180.0,360.0,60.2
47,DIRECCIÓN DE EDUCACIÓN,Acumulativo,117.0,27.0,0.0,0.0%,0.0%,30.0,30.0,100.0%,26.0%,30.0,0.0,0.0%,0.0%,30.0,0.0,0.0%,0.0%,26.0%,25.0%,100.0,300.0,450.0,199.0
48,DIRECCIÓN DE EDUCACIÓN,No acumulativo,26.0,26.0,26.0,100.0%,25.0%,26.0,26.0,100.0%,25.0%,26.0,0.0,0.0%,0.0%,26.0,0.0,0.0%,0.0%,50.0%,50.0%,1856.2,3196.0,1939.5,2285.2
49,DIRECCIÓN DE EDUCACIÓN,No acumulativo,10.0,10.0,10.0,100.0%,25.0%,10.0,10.0,100.0%,25.0%,10.0,0.0,0.0%,0.0%,10.0,0.0,0.0%,0.0%,50.0%,50.0%,112.0,117.3,150.0,137.0
50,DIRECCIÓN DE EDUCACIÓN,Acumulativo,200.0,50.0,177.0,100.0%,25.0%,50.0,230.0,100.0%,25.0%,227.0,0.0,0.0%,0.0%,50.0,0.0,0.0%,0.0%,50.0%,50.0%,530.0,750.7,780.0,286.0
51,DIRECCIÓN DE EDUCACIÓN,Acumulativo,200.0,50.0,0.0,0.0%,0.0%,50.0,100.0,100.0%,25.0%,100.0,0.0,0.0%,0.0%,50.0,0.0,0.0%,0.0%,25.0%,25.0%,300.0,84.0,100.0,281.0
52,DIRECCIÓN DE EDUCACIÓN,Acumulativo,6.0,,,,,6.0,6.0,100.0%,100.0%,6.0,6.0,100.0%,100.0%,2.0,0.0,0.0%,0.0%,200.0%,67.0%,0,33.8,121.9,42.0
53,DIRECCION DE CULTURA,No acumulativo,1.0,1.0,0.0,0.0%,0.0%,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,25.0%,25.0%,30.0,45.0,0,0
54,DIRECCION DE CULTURA,No acumulativo,1.0,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,0.0%,0.0%,186.9,265.8,30.0,30.0
55,DIRECCION DE CULTURA,Acumulativo,10000.0,2.5,0.0,0.0%,0.0%,2500.0,8726.0,100.0%,25.0%,2500.0,1248.0,49.9%,12.0%,2500.0,0.0,0.0%,0.0%,37.0%,37.0%,103.0,170.0,121.0,133.0
56,DIRECCION DE CULTURA,Acumulativo,100.0,25.0,0.0,0.0%,0.0%,25.0,25.0,100.0%,25.0%,25.0,2.0,8.0%,2.0%,25.0,0.0,0.0%,0.0%,27.0%,27.0%,1060.8,901.3,984.6,166.2
57,DIRECCION DE CULTURA,Acumulativo,2.0,,,,,1.0,0.0,0.0%,0.0%,2.0,0.0,0.0%,0.0%,,0.0,,,0.0%,0.0%,23.0,5.0,20.1,0
58,DIRECCION DE CULTURA,No acumulativo,3.0,3.0,0.0,0.0%,0.0%,3.0,3.0,100.0%,25.0%,3.0,3.0,100.0%,25.0%,3.0,0.0,0.0%,0.0%,50.0%,50.0%,235.0,383.3,348.0,35.0
59,DIRECCION DE CULTURA,Acumulativo,4.0,,,,,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,2.0,0.0,0.0%,0.0%,25.0%,33.0%,0,10.0,15.6,20.0
60,DIRECCION DE CULTURA,Acumulativo,4.0,,,,,1.0,0.0,0.0%,0.0%,0.0,0.0,0.0%,0.0%,2.0,0.0,0.0%,0.0%,0.0%,0.0%,0,18.0,56.0,0
61,DIRECCIÓN DE EDUCACIÓN,Acumulativo,117.0,20.0,2.0,10.0%,2.0%,39.0,28.0,72.0%,24.0%,0.5,0.0,0.0%,0.0%,20.0,0.0,0.0%,0.0%,26.0%,20.0%,803.5,1615.3,2266.0,600.0
62,DIRECCION DE CULTURA,Acumulativo,12.0,1.0,0.0,0.0%,0.0%,4.0,4.0,100.0%,33.0%,2.0,0.0,0.0%,0.0%,3.0,0.0,0.0%,0.0%,33.0%,25.0%,79.0,72.8,70.2,5.0
63,DIRECCIÓN DE EDUCACIÓN,Acumulativo,5.0,1.0,0.0,0.0%,0.0%,1.0,1.0,100.0%,20.0%,2.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,20.0%,25.0%,155.0,150.0,200.0,100.0
64,DIRECCION DE CULTURA,Acumulativo,100.0,20.0,0.0,0.0%,0.0%,80.0,0.0,0.0%,0.0%,0.0,0.0,0.0%,0.0%,,0.0,,,0.0%,0.0%,1.0,0,0,0
65,DIRECCIÓN DE AGUAS,Acumulativo,50000.0,12.5,1000.0,8.0%,2.0%,12500.0,8100.0,65.0%,16.0%,12500.0,8327.0,66.6%,17.0%,12500.0,0.0,0.0%,0.0%,35.0%,35.0%,7516.1,9398.8,6613.0,1117.2
66,FOMENTO,Acumulativo,400.0,173.0,100.0,58.0%,25.0%,75.0,85.0,100.0%,19.0%,75.0,0.0,0.0%,0.0%,77.0,0.0,0.0%,0.0%,44.0%,39.0%,79.5,92.5,70.0,80.0
67,FOMENTO,No acumulativo,10.0,,,,,10.0,10.0,100.0%,50.0%,10.0,0.0,0.0%,0.0%,,0.0,,,50.0%,50.0%,15.0,15.0,15.0,0
68,FOMENTO,Acumulativo,20.0,2.0,0.0,0.0%,0.0%,6.0,20.0,100.0%,30.0%,12.0,12.0,100.0%,60.0%,6.0,0.0,0.0%,0.0%,90.0%,50.0%,20.0,26.0,2.0,6.0
